Questions,Questions-duplicated
When will students find out about their housing assignments?,When will students receive information about their housing assignments?
How long are the beds? What kind of sheets will I need?,"What is the size of the beds, and what type of sheets are required?"
Are pets allowed?,Are pets allowed in the residence halls?
Can I bunk my bed?,Can students bunk their beds in the rooms?
Can furniture be removed from the room and replaced with my own?,Is it possible to replace the provided furniture with personal items?
How do I get back into my room if I am locked out and do not have my key?,How can a student regain access to their room if they are locked out without a key?
What does a student do if they have a roommate problems?,What is the protocol for addressing roommate problems?
What does a student do if they do not like their room assignment?,How can a student request a change in their room assignment if they are unhappy with it?
Can I have an overnight guest? ,Are overnight guests permitted in the residence halls?
How often are rooms cleaned?,How often are the rooms cleaned?
Where can students do their laundry when living on campus?,Where can students do their laundry while living on campus?
Are students allowed to have a refrigerator and microwave in the room?,Are students allowed to have a refrigerator and microwave in their room?
How does the meal plan work? ,How does the meal plan function?
What are DuckBills?,What is the DuckBills program?
Can money be added to my Duck Bill account?,Can money be added to a student's Duck Bill account?
Is the food plan available during holidays and breaks?,Is the meal plan available during holidays and breaks?
What items should you bring to college with you?,What are the essential items that students should bring to college?
What items are provided in the residence hall rooms?,What furnishings are provided in the residence hall rooms?
Does Stevens provide toiletries? ,Does the university supply toiletries for students?
How can I request a room change as a current student?,What is the process for requesting a room change for current students?
How can I cancel my housing as a current student? ,How can a current student cancel their housing arrangement?
What do I do if there's something broken in my room? ,What should a student do if something is broken in their room?
What happens if students' possessions are destroyed or stolen?,What happens if a student's belongings are stolen or destroyed?
Should students get insurance for belongings brought to campus?,Is it advisable for students to obtain insurance for their belongings brought to campus?
Are there storage facilities available on campus?,Are there storage facilities accessible on campus?
Are the halls secured?,Are the residence hall halls secured?
Are there staff who live in the residence halls? ,Is there staff residing in the residence halls?
What are the Stevens housing policy penalties?,What are the penalties associated with the Stevens housing policy?
I have a question about a policy not answered here.,What should I do if I have a question about a policy not addressed here?
Do I have to have a job in order to apply for OPT?,"Do I need a job to apply for OPT, or is it optional?"
What is my visa status while I am on post-completion OPT?,What is my visa status during post-completion OPT?
Does my employer have to be part of the E-Verify program?,Is E-Verify program participation mandatory for my employer?
"If I applied for Pre-Completion OPT, will I still have 12 months or Post-Completion OPT after I graduate?","If I applied for Pre-Completion OPT, will I still have 12 months of Post-Completion OPT after graduating?"
"If I used my post-completion OPT for another degree program, am I eligible for an additional 12 months of OPT?",Can I get an additional 12 months of OPT if I use my post-completion OPT for another degree program?
Can ISSS expedite my application?,Can ISSS expedite my OPT application?
How early can I apply for OPT?,When can I apply for OPT?
Can I apply for post-completion OPT during my 60-day grace period?,Can I apply for post-completion OPT during my 60-day grace period?
The OPT Request Form asks for a start date. How do I select one?,How do I choose a start date for my OPT when completing the OPT Request Form?
I am doing a CPT in my final semester. How can I start OPT with the employer right after my CPT?,How can I start OPT with an employer after completing a CPT in my final semester?
How long after receiving my Form I-20 must I submit my application to USCIS?,"After receiving my Form I-20, how long do I have to submit my OPT application to USCIS?"
How long will it take USCIS to process my application? Can I expedite the process?,"How long does USCIS take to process OPT applications, and can the process be expedited?"
Can I work before I receive my Employment Authorization Document (EAD)?,Can I work while waiting for my Employment Authorization Document (EAD)?
How many hours per week must I work?,What is the minimum number of hours I am required to work per week while on OPT?
Is there a maximum number of hours I can work on OPT?,What is the limit on the number of hours I can work during post-completion OPT?
What type of work am I limited to once my OPT is approved?,What kind of work can I do during my approved OPT period?
Does work have to be paid while engaging in post-completion OPT?,Do I have to receive payment for my work during post-completion OPT?
Can I volunteer for a company until they decide to hire me?,Is it possible to volunteer with a company while awaiting employment?
Can I change jobs while engaging in OPT work authorization?,Can I switch jobs during OPT employment?
How many days of unemployment am I permitted on post-completion OPT?,How many days of unemployment are permitted during post-completion OPT?
What happens if I exceed the 90 days of unemployment?,What happens if I exceed the 90-day unemployment limit?
"While I am engaging in post-completion OPT, may I enroll in another degree-seeking program?",Can I enroll in another degree program while working on post-completion OPT?
I returned home before my OPT authorization expired. I plan to stay in my home country for now. Can I save that unused time for use at a later time?,"If I return to my home country before my OPT expires, can I use the remaining time at a later date?"
How long can I stay in the US after my OPT ends?,How long can I remain in the US after my OPT ends?
Can I extend my OPT?,Is it possible to extend my OPT?
Can I continue to study after my post-completion OPT ends?,Can I continue studying after my post-completion OPT period ends?
My OPT is approved and I have my EAD. What do I need to re-enter the U.S?,What documents do I need to re-enter the US after completing OPT?
Can I travel outside the U.S. while my OPT application is pending?,Can I travel outside the US while waiting for my OPT application to be processed?
How long is a travel signature valid when engaging in post-completion OPT?,How long is a travel signature valid during post-completion OPT?
When should I apply for financial aid?,At what point should I submit my application for financial assistance?
What's the income cut-off for need-based aid?,What is the maximum income level to qualify for need-based aid?
"How is my ""financial need"" determined?",How does the school determine my financial need for financial aid?
How many credits must I take to be eligible for financial aid?,How many credits do I need to take to be eligible for financial aid?
What can I do if my financial aid package isn't enough?,What options do I have if my financial aid package is insufficient?
"What is verification, and why was I selected?",What is the process of verification and why was I selected for it?
My parents are divorced. Whose information do I include on the FAFSA?,"If my parents are divorced, whose information do I include in the FAFSA application?"
How will I receive my I-20 from ISSS?,How will I receive my I-20 form from ISSS?
I've submitted all of my I-20 Application materials. How long will it take to get my I-20?,How long does it take to receive the I-20 form after submitting all the application materials?
How will I receive my I-20 from ISSS?,In what manner will ISSS send me my I-20?
I've submitted all of my I-20 Application materials. How long will it take to get my I-20?,"After submitting all the required materials for my I-20, how much time will it take to receive it?"
Will classes be available online? Can I defer my admittance?,Can I defer my admission and take classes online?
Can I start my program online from home?,Is it possible to start my program online from my home country?
"If my visa was granted after the semester began and I deferred my admission to the following semester, can I still use my visa for entry to the U.S. in the future?","If my visa was granted after the semester started and I defer my admission, can I still use the visa to enter the US in the future?"
Will classes be available online? Can I defer my admittance?,Will online classes be an option? Is it possible to postpone my admission?
Can I start my program online from home?,Can I commence my program online from my home location?
What is the difference between CPT and OPT?,What are the differences between CPT and OPT?
Does CPT related coursework have to be credit bearing?,Is it necessary for the CPT related coursework to be credit-bearing?
My course related employment opportunity is unpaid. Do I still have to apply for CPT?,Do I need to apply for CPT if my course-related employment is unpaid?
I am an F-1 student that transferred my SEVIS record to Stevens. When am I eligible for CPT?,When am I eligible for CPT if I am an F-1 student who transferred my SEVIS record to Stevens?
I am an F-1 student changed my degree level to pursue another degree at Stevens. When am I eligible for CPT?,When am I eligible for CPT if I am an F-1 student who changed my degree level to pursue another degree at Stevens?
May I do CPT if am a graduate student who has completed all required credits and I am just working on my thesis/dissertation?,Can I do CPT work if I am a graduate student who has completed all required credits and is working on my thesis/dissertation?
I am an H-4 student planning to apply for F-1 status. Will I be eligible for CPT once I get F-1 status?,Will I be eligible for CPT if I am an H-4 student planning to apply for F-1 status?
I have been offered a remote position for CPT. Am I permitted to do CPT for a remote position?,Can I participate in a remote position for CPT work?
Should I apply for the Co-Op Program or enroll in the Practicum Course?,Should I enroll in the Co-Op program or the Practicum course?
My employer has extended my offer for this semester. How do I extend my CPT work authorization?,How do I extend my CPT work authorization if my employer extends my offer for another semester?
My employer would like me to continue working. How do I continue working?,How can I continue working with my employer after my CPT authorization expires upon graduation?
My employer would like me to continue after I graduate. What do I to do?,What should I do if my employer wants me to continue working after I graduate?
"If my application is pending with ISSS, but not yet approved, may I change the employer on my application?",Can I change the employer on my CPT application if it is still pending with ISSS?
May I change my employer after my CPT has been approved by ISSS and I have begun working?,Is it possible to change my employer after my CPT has been approved by ISSS and I have started working?
What if I change my mind and decide not to do CPT work after ISSS authorizes me?,What if I decide not to do CPT work after ISSS authorizes me?
My internship ended early. What documents should I provide to ISSS to report an earlier end date?,How should I report an early end date for my internship to ISSS and what documents are required?
Can I drop the practicum course?,Is it possible for me to drop the practicum course?
I want to work full-time (over twenty hours per week) and take a full-time course load. Is this allowed?,Can I work full-time (more than 20 hours per week) and take a full-time course load simultaneously?
I want to devote myself fully to my practicum work and/or I only need one credit to complete my degree.. May I only enroll in the practicum course?,"If I only need one credit to complete my degree or want to focus solely on my practicum work, can I enroll only in the practicum course?"
Can I count the practicum course towards my full course load requirement?,Does the practicum course count towards the full course load requirement?
How does the practicum course affect my course enrollment if I will be graduating in the summer?,How does the practicum course affect my course enrollment if I will be graduating in the summer?
"I am going to finish my degree one semester early, but my I-20 has an end date in a future semester. Can I stay on-campus taking courses in order to use more CPT time until my I-20 ends?",Can I stay on-campus to use more CPT time until my I-20 ends if I will finish my degree one semester early but my I-20 has an end date in a future semester?
My I-20 is ending. Can I extend my I-20 to do the practicum course?,Can I extend my I-20 to do the practicum course if my I-20 is expiring?
Can I keep my on-campus job if I have CPT employment?,Can I keep my on-campus job if I have CPT employment?
I have been offered two jobs and both are relevant to my degree. Can I do two CPTs in one semester?,Can I have two CPTs in one semester if I have been offered two relevant jobs?
May I apply for CPT and OPT at the same time?,Can I apply for CPT and OPT at the same time?
What is a Change of Level?,What is a Change of Level?
When do I need to apply for a Change of Level?,At what point should I apply for a Change of Level?
Will Changing my Degree Level Change my SEVIS ID?,Will my SEVIS ID change if I change my degree level?
How do I get a Change of Level I-20?,How can I obtain a Change of Level I-20?
What Happens After I get my Change of Level I-20?,What happens after I receive my Change of Level I-20?
I plan to travel home prior to beginning my new program of study. Can I use my current I-20 to travel and then get my new change of level I-20 when I return?,"If I plan to travel before starting my new program, can I use my current I-20 and obtain the new Change of Level I-20 upon return?"
"I have an on-campus job. After completing my degree at the lower degree level, can I continue working on-campus until I start my new degree program?",Can I continue working on-campus after completing my lower degree level until I start my new program?
F-1 or J-1 Students,What are F-1 or J-1 students?
J-1 Scholars and H-1B Visa Holders,What are J-1 Scholars and H-1B Visa Holders?
When am I eligible for a Social Security Number (SSN)?,when am I eligible for a Social Security Number (SSN)?
Who Issues my Social Security Number?,Who is responsible for issuing my Social Security Number?
Where is my Local Social Security Administration Office?,Where can I find my local Social Security Administration office?
What Does it Cost?,What are the costs associated with obtaining a Social Security number?
How long does it take to get a Social Security number?,How long does it typically take to receive a Social Security card?
What if my card is lost or stolen?,What should I do if my Social Security card is lost or stolen?
Can I start working before I receive a Social Security card?,Am I permitted to start working before receiving my Social Security card?
How long is Orientation?,How long does Orientation last?
What will take place during First- Year Orientation? ,What is included in First-Year Orientation?
Is Orientation mandatory? ,Is attending Orientation mandatory?
Where will I find the Orientation schedule?,Where can I access the Orientation schedule?
What time should I be there?,At what time is the Orientation scheduled to start?
What is a Peer Leader?,What is the role of a Peer Leader during Orientation?
Who do I contact if I have questions regarding Orientation? ,Who should I contact if I have inquiries related to Orientation?
How do online classes work?,How do online classes operate?
What do I need to do to apply to a graduate program?,What are the requirements to apply for a graduate program?
What are the costs and fees to enroll in StevensOnline programs?,What is the cost of tuition and fees for StevensOnline programs?
Are StevensOnline programs accredited?,Are StevensOnline programs accredited by a recognized body?
Are the admissions requirements different for online students than they are for on-campus students?,Are the admissions prerequisites different for online and on-campus students?
